year,search term,sentence,score
2014,Apitutude|Discretionary,"piggyondemove wrote:  There will be 2 parts to the interview. First off is a written test in some meeting room. There were 11 others with me as well. So we were given a passage and 2 5-marks questions, with 30 minutes to complete the test. I would suggest you manage the time well, 10 min for reading, 10 min for each question. I don't think they'll be using the same passage, perhaps you can tell me your topic after your interview.  My passage was an extract from this rather 'ancient' philosopher's book. About 1.5 pages long with word size of probably 10. The 2 questions are based on the passage, somewhat like GP's comprehension; 1 question asking about the explanation of the content , the other asking for summary of arguments made by the author. I did manage to see how much my peers wrote, and to my horror, many of them wrote at least 1 page for each question. I just answered straight to the point with as much detailed and concise elaborations (probably barely half a page). So if you have the same worry as me, just remember that quality can definitely make up for quantity. At least I know that if I had written 1 page long, my answer will probably be worse off >.< No time for flowery language honestly. Second part was the actual interview by professors. It's a 1-1 interview in the prof's office. As there were 12 of us with 3 profs, they split us up into 3 groups. Most probably in alphabetical order. My name starts with 'A', so I was interviewed first in my group. 3 interviews were carried out simultaneously in various offices. There isn't a time limit per se, so I guess you could ramble on for as long as you prefer. During the interview, my interviewer ran through the process with me first. 3 main questions. 1. Something more academic, based on the written test. So it was like a chance to elaborate on what you've missed out, or for you to clarify on certain thoughts. No hard and fast rule with this. 2. Based on philosophy's fields of study, talk about what interests you in Philo. (It's basically why you chose Philosophy).  3. Elaborate on CCAs, what made you who you are, what changed your beliefs, any turning points in life etc (that kind of questions). Do take note though, the interviewer may refer (many times) to your application, be it choice of courses, CCA, results and what you wrote for discretionary etc. As for my interviewer, it seemed like he took a good look at the hardcopy of my application. Thank goodness I remembered the details of it.  Also, he actually made it very obvious that he's jotting down pointers of what you say from first question onwards, and he will write things that impresses him as you speak. So feel free to share your glorious history with your interviewer (of course it has to have some link with his main questions). Lastly, the interviewer will ask you if you have any queries. Ask something sensible and pertaining to philosophy or the school's pedagogy. You can PM me if you want to know what I asked. The interview process was a rather enjoyable one, semi-formal? We had a nice chat on some aspects of philosophy that I was interested in; and there's really nothing wrong if you're not sure on how to answer the questions. Just make a deliberate pause, at least to look like you're thinking through your answer, and do answer as logically as possible. Fact is, philosophy is based on logic.  Some tips for preparations: 1. Look up some of the famous philosophers and their background. You might kena one of them for your passage. 2. Look through the curriculum, and decide what you're interested in. Wiki is your best friend if you need explanations on the concepts. 3. Be honest with your background, but speak smartly and emphasize on your strengths. They just want to know you better. Best of luck for your interview tomorrow. PM me if you need anything else. Don't worry, the profs are really friendly. I heard much laughter coming from the other 2 rooms while I was in the interview. Hi! The written test was really challenging, it was about Rene. Everything was as expected for the interview portion, thank you so much for your help! I am not sure if I will be able to get in but thanks once again.",13.26624632678971
2014,Apitutude|Discretionary,"singsongsing123 wrote:  Hi, I am attending philo interview tmr. Could you share with me how the interview process will be like? There will be 2 parts to the interview. First off is a written test in some meeting room. There were 11 others with me as well. So we were given a passage and 2 5-marks questions, with 30 minutes to complete the test. I would suggest you manage the time well, 10 min for reading, 10 min for each question. I don't think they'll be using the same passage, perhaps you can tell me your topic after your interview.  My passage was an extract from this rather 'ancient' philosopher's book. About 1.5 pages long with word size of probably 10. The 2 questions are based on the passage, somewhat like GP's comprehension; 1 question asking about the explanation of the content , the other asking for summary of arguments made by the author. I did manage to see how much my peers wrote, and to my horror, many of them wrote at least 1 page for each question. I just answered straight to the point with as much detailed and concise elaborations (probably barely half a page). So if you have the same worry as me, just remember that quality can definitely make up for quantity. At least I know that if I had written 1 page long, my answer will probably be worse off >.< No time for flowery language honestly. Second part was the actual interview by professors. It's a 1-1 interview in the prof's office. As there were 12 of us with 3 profs, they split us up into 3 groups. Most probably in alphabetical order. My name starts with 'A', so I was interviewed first in my group. 3 interviews were carried out simultaneously in various offices. There isn't a time limit per se, so I guess you could ramble on for as long as you prefer. During the interview, my interviewer ran through the process with me first. 3 main questions. 1. Something more academic, based on the written test. So it was like a chance to elaborate on what you've missed out, or for you to clarify on certain thoughts. No hard and fast rule with this. 2. Based on philosophy's fields of study, talk about what interests you in Philo. (It's basically why you chose Philosophy).  3. Elaborate on CCAs, what made you who you are, what changed your beliefs, any turning points in life etc (that kind of questions). Do take note though, the interviewer may refer (many times) to your application, be it choice of courses, CCA, results and what you wrote for discretionary etc. As for my interviewer, it seemed like he took a good look at the hardcopy of my application. Thank goodness I remembered the details of it.  Also, he actually made it very obvious that he's jotting down pointers of what you say from first question onwards, and he will write things that impresses him as you speak. So feel free to share your glorious history with your interviewer (of course it has to have some link with his main questions). Lastly, the interviewer will ask you if you have any queries. Ask something sensible and pertaining to philosophy or the school's pedagogy. You can PM me if you want to know what I asked. The interview process was a rather enjoyable one, semi-formal? We had a nice chat on some aspects of philosophy that I was interested in; and there's really nothing wrong if you're not sure on how to answer the questions. Just make a deliberate pause, at least to look like you're thinking through your answer, and do answer as logically as possible. Fact is, philosophy is based on logic.  Some tips for preparations: 1. Look up some of the famous philosophers and their background. You might kena one of them for your passage. 2. Look through the curriculum, and decide what you're interested in. Wiki is your best friend if you need explanations on the concepts. 3. Be honest with your background, but speak smartly and emphasize on your strengths. They just want to know you better. Best of luck for your interview tomorrow. PM me if you need anything else. Don't worry, the profs are really friendly. I heard much laughter coming from the other 2 rooms while I was in the interview.",13.109605145804613
2014,Apitutude|Discretionary,"CaiHongRainx wrote:  Hi guys, I'm a JC student. Grades H2/H1 ABB/BBC, UAS 80 w/o MT. I applied to NUS Computer Science. I thought with my grades it shouldn't be a problem, but then I'm called up for a discretionary admission interview. It came quite unexpected. Does anyonw knows what's the interview is going to be like? Surprising eh. I was 77.5 got in no prob. 2 years back though haha",6.107315932869012
2014,Apitutude|Discretionary,"CaiHongRainx wrote:  Hi guys, I'm a JC student. Grades H2/H1 ABB/BBC, UAS 80 w/o MT. I applied to NUS Computer Science. I thought with my grades it shouldn't be a problem, but then I'm called up for a discretionary admission interview. It came quite unexpected. Does anyonw knows what's the interview is going to be like? fwah sho satki still need interview?",5.789778705697654
2014,Apitutude|Discretionary,"CaiHongRainx wrote:  Hi guys, I'm a JC student. Grades H2/H1 ABB/BBC, UAS 80 w/o MT. I applied to NUS Computer Science. I thought with my grades it shouldn't be a problem, but then I'm called up for a discretionary admission interview. It came quite unexpected. Does anyonw knows what's the interview is going to be like? Did you apply for DA? like fill up the DA portion",5.647362882948941
2014,Apitutude|Discretionary,"LordKuroda wrote:  Congrats!  Mind sharing more info? What course did you apply for, GPA and L1R4. Thanks! I applied for computing engineering , cgpa 3.75 and l1r4 13 .  no interview/discretionary admission my friend's application is still processing and he applied same course as me, if you don't have it yet, just wait patiently! you will  really, good luck to all of you around.  hope to seeya ",5.496119027343893
2014,Apitutude|Discretionary,"alpha123456 wrote:  I applied for computing engineering , cgpa 3.75 and l1r4 13 .  no interview/discretionary admission my friend's application is still processing and he applied same course as me, if you don't have it yet, just wait patiently! you will  really, good luck to all of you around.  hope to seeya com eng? good luck dude....  enjoy while u can...",5.278236048504202
2014,Apitutude|Discretionary,"Hi guys, I'm a JC student. Grades H2/H1 ABB/BBC, UAS 80 w/o MT. I applied to NUS Computer Science. I thought with my grades it shouldn't be a problem, but then I'm called up for a discretionary admission interview. It came quite unexpected. Does anyonw knows what's the interview is going to be like?",5.244280447575627
2014,Apitutude|Discretionary,arryoyo wrote:  Is there anyone who went for NUS DA interview and got the offer?  Hi! May I know how you come to realise that your NUS interview is granted via discretionary admission route and not the normal non-DA route?,4.29614435628158
2014,Apitutude|Discretionary,blumberbeep wrote:  Hi! May I know how you come to realise that your NUS interview is granted via discretionary admission route and not the normal non-DA route? NUS stated it in the email that was sent to me.,4.174790586357006
