year,search term,sentiment score,Number of comments
2014,Jurong Junior College|Jurong Pioneer Junior College|Pioneer Junior College|jurong pioneer jc|jurong jc|pioneer jc|jjc|pjc|jpjc|computer|com|infosys|information systems|analytics|smart city,0.40065701754385946,342
2014,Eunoia Junior College|Eunoia jc|ejc|computer|com|infosys|information systems|analytics|smart city,0.40065701754385946,342
2014,Innova Junior College|innova jc|ijc|computer|com|infosys|information systems|analytics|smart city,0.40065701754385946,342
2014,Tampines Junior College|Tampines Meridian Junior College|Meridian Junior College|Tampines Meridian jc|Tampines jc|Meridian jc|mjc|tpjc|tmjc|computer|com|infosys|information systems|analytics|smart city,0.40065701754385946,342
2014,Yishun Innova Junior College|Yishun Junior College|Innova Junior College|yishun jc|innova jc|yishun innova jc|yjc|ijc|yijc|computer|com|infosys|information systems|analytics|smart city,0.40065701754385946,342
2015,Jurong Junior College|Jurong Pioneer Junior College|Pioneer Junior College|jurong pioneer jc|jurong jc|pioneer jc|jjc|pjc|jpjc|computer|com|infosys|information systems|analytics|smart city,0.422603488372093,86
2015,Eunoia Junior College|Eunoia jc|ejc|computer|com|infosys|information systems|analytics|smart city,0.422603488372093,86
2015,Innova Junior College|innova jc|ijc|computer|com|infosys|information systems|analytics|smart city,0.422603488372093,86
2015,Tampines Junior College|Tampines Meridian Junior College|Meridian Junior College|Tampines Meridian jc|Tampines jc|Meridian jc|mjc|tpjc|tmjc|computer|com|infosys|information systems|analytics|smart city,0.422603488372093,86
2015,Yishun Innova Junior College|Yishun Junior College|Innova Junior College|yishun jc|innova jc|yishun innova jc|yjc|ijc|yijc|computer|com|infosys|information systems|analytics|smart city,0.422603488372093,86
2016,Jurong Junior College|Jurong Pioneer Junior College|Pioneer Junior College|jurong pioneer jc|jurong jc|pioneer jc|jjc|pjc|jpjc|computer|com|infosys|information systems|analytics|smart city,0.4409710526315787,608
2016,Eunoia Junior College|Eunoia jc|ejc|computer|com|infosys|information systems|analytics|smart city,0.4409710526315787,608
2016,Innova Junior College|innova jc|ijc|computer|com|infosys|information systems|analytics|smart city,0.4409710526315787,608
2016,Tampines Junior College|Tampines Meridian Junior College|Meridian Junior College|Tampines Meridian jc|Tampines jc|Meridian jc|mjc|tpjc|tmjc|computer|com|infosys|information systems|analytics|smart city,0.4409710526315787,608
2016,Yishun Innova Junior College|Yishun Junior College|Innova Junior College|yishun jc|innova jc|yishun innova jc|yjc|ijc|yijc|computer|com|infosys|information systems|analytics|smart city,0.4409710526315787,608
2017,Jurong Junior College|Jurong Pioneer Junior College|Pioneer Junior College|jurong pioneer jc|jurong jc|pioneer jc|jjc|pjc|jpjc|computer|com|infosys|information systems|analytics|smart city,0.4377459459459454,925
2017,Eunoia Junior College|Eunoia jc|ejc|computer|com|infosys|information systems|analytics|smart city,0.4356181136120037,933
2017,Innova Junior College|innova jc|ijc|computer|com|infosys|information systems|analytics|smart city,0.4377459459459454,925
2017,Tampines Junior College|Tampines Meridian Junior College|Meridian Junior College|Tampines Meridian jc|Tampines jc|Meridian jc|mjc|tpjc|tmjc|computer|com|infosys|information systems|analytics|smart city,0.4377459459459454,925
2017,Yishun Innova Junior College|Yishun Junior College|Innova Junior College|yishun jc|innova jc|yishun innova jc|yjc|ijc|yijc|computer|com|infosys|information systems|analytics|smart city,0.4377459459459454,925
2018,Jurong Junior College|Jurong Pioneer Junior College|Pioneer Junior College|jurong pioneer jc|jurong jc|pioneer jc|jjc|pjc|jpjc|computer|com|infosys|information systems|analytics|smart city,0.49376154855643056,762
2018,Eunoia Junior College|Eunoia jc|ejc|computer|com|infosys|information systems|analytics|smart city,0.4938477748691099,764
2018,Innova Junior College|innova jc|ijc|computer|com|infosys|information systems|analytics|smart city,0.49376154855643056,762
2018,Tampines Junior College|Tampines Meridian Junior College|Meridian Junior College|Tampines Meridian jc|Tampines jc|Meridian jc|mjc|tpjc|tmjc|computer|com|infosys|information systems|analytics|smart city,0.49376154855643056,762
2018,Yishun Innova Junior College|Yishun Junior College|Innova Junior College|yishun jc|innova jc|yishun innova jc|yjc|ijc|yijc|computer|com|infosys|information systems|analytics|smart city,0.49376154855643056,762
2019,Jurong Junior College|Jurong Pioneer Junior College|Pioneer Junior College|jurong pioneer jc|jurong jc|pioneer jc|jjc|pjc|jpjc|computer|com|infosys|information systems|analytics|smart city,0.47448898550724655,345
2019,Eunoia Junior College|Eunoia jc|ejc|computer|com|infosys|information systems|analytics|smart city,0.47448898550724655,345
2019,Innova Junior College|innova jc|ijc|computer|com|infosys|information systems|analytics|smart city,0.47448898550724655,345
2019,Tampines Junior College|Tampines Meridian Junior College|Meridian Junior College|Tampines Meridian jc|Tampines jc|Meridian jc|mjc|tpjc|tmjc|computer|com|infosys|information systems|analytics|smart city,0.47448898550724655,345
2019,Yishun Innova Junior College|Yishun Junior College|Innova Junior College|yishun jc|innova jc|yishun innova jc|yjc|ijc|yijc|computer|com|infosys|information systems|analytics|smart city,0.47448898550724655,345
2020,Jurong Junior College|Jurong Pioneer Junior College|Pioneer Junior College|jurong pioneer jc|jurong jc|pioneer jc|jjc|pjc|jpjc|computer|com|infosys|information systems|analytics|smart city,0.40160061349693216,163
2020,Eunoia Junior College|Eunoia jc|ejc|computer|com|infosys|information systems|analytics|smart city,0.40160061349693216,163
2020,Innova Junior College|innova jc|ijc|computer|com|infosys|information systems|analytics|smart city,0.40160061349693216,163
2020,Tampines Junior College|Tampines Meridian Junior College|Meridian Junior College|Tampines Meridian jc|Tampines jc|Meridian jc|mjc|tpjc|tmjc|computer|com|infosys|information systems|analytics|smart city,0.40160061349693216,163
2020,Yishun Innova Junior College|Yishun Junior College|Innova Junior College|yishun jc|innova jc|yishun innova jc|yjc|ijc|yijc|computer|com|infosys|information systems|analytics|smart city,0.40160061349693216,163
2021,Jurong Junior College|Jurong Pioneer Junior College|Pioneer Junior College|jurong pioneer jc|jurong jc|pioneer jc|jjc|pjc|jpjc|computer|com|infosys|information systems|analytics|smart city,0,0
2021,Eunoia Junior College|Eunoia jc|ejc|computer|com|infosys|information systems|analytics|smart city,0,0
2021,Innova Junior College|innova jc|ijc|computer|com|infosys|information systems|analytics|smart city,0,0
2021,Tampines Junior College|Tampines Meridian Junior College|Meridian Junior College|Tampines Meridian jc|Tampines jc|Meridian jc|mjc|tpjc|tmjc|computer|com|infosys|information systems|analytics|smart city,0,0
2021,Yishun Innova Junior College|Yishun Junior College|Innova Junior College|yishun jc|innova jc|yishun innova jc|yjc|ijc|yijc|computer|com|infosys|information systems|analytics|smart city,0,0
