year,search term,sentiment score,Number of comments
2014,Jurong Junior College|Jurong Pioneer Junior College|Pioneer Junior College|jurong pioneer jc|jurong jc|pioneer jc|jjc|pjc|jpjc|computer|com|infosys|information systems|analytics|smart city,0.4710486772486774,189
2014,Eunoia Junior College|Eunoia jc|ejc|computer|com|infosys|information systems|analytics|smart city,0.4710486772486774,189
2014,Innova Junior College|innova jc|ijc|computer|com|infosys|information systems|analytics|smart city,0.4710486772486774,189
2014,Tampines Junior College|Tampines Meridian Junior College|Meridian Junior College|Tampines Meridian jc|Tampines jc|Meridian jc|mjc|tpjc|tmjc|computer|com|infosys|information systems|analytics|smart city,0.4710486772486774,189
2014,Yishun Innova Junior College|Yishun Junior College|Innova Junior College|yishun jc|innova jc|yishun innova jc|yjc|ijc|yijc|computer|com|infosys|information systems|analytics|smart city,0.4710486772486774,189
2015,Jurong Junior College|Jurong Pioneer Junior College|Pioneer Junior College|jurong pioneer jc|jurong jc|pioneer jc|jjc|pjc|jpjc|computer|com|infosys|information systems|analytics|smart city,0.5381339285714287,56
2015,Eunoia Junior College|Eunoia jc|ejc|computer|com|infosys|information systems|analytics|smart city,0.5381339285714287,56
2015,Innova Junior College|innova jc|ijc|computer|com|infosys|information systems|analytics|smart city,0.5381339285714287,56
2015,Tampines Junior College|Tampines Meridian Junior College|Meridian Junior College|Tampines Meridian jc|Tampines jc|Meridian jc|mjc|tpjc|tmjc|computer|com|infosys|information systems|analytics|smart city,0.5381339285714287,56
2015,Yishun Innova Junior College|Yishun Junior College|Innova Junior College|yishun jc|innova jc|yishun innova jc|yjc|ijc|yijc|computer|com|infosys|information systems|analytics|smart city,0.5381339285714287,56
2016,Jurong Junior College|Jurong Pioneer Junior College|Pioneer Junior College|jurong pioneer jc|jurong jc|pioneer jc|jjc|pjc|jpjc|computer|com|infosys|information systems|analytics|smart city,0.4406052511415527,438
2016,Eunoia Junior College|Eunoia jc|ejc|computer|com|infosys|information systems|analytics|smart city,0.4406052511415527,438
2016,Innova Junior College|innova jc|ijc|computer|com|infosys|information systems|analytics|smart city,0.4406052511415527,438
2016,Tampines Junior College|Tampines Meridian Junior College|Meridian Junior College|Tampines Meridian jc|Tampines jc|Meridian jc|mjc|tpjc|tmjc|computer|com|infosys|information systems|analytics|smart city,0.4406052511415527,438
2016,Yishun Innova Junior College|Yishun Junior College|Innova Junior College|yishun jc|innova jc|yishun innova jc|yjc|ijc|yijc|computer|com|infosys|information systems|analytics|smart city,0.4406052511415527,438
2017,Jurong Junior College|Jurong Pioneer Junior College|Pioneer Junior College|jurong pioneer jc|jurong jc|pioneer jc|jjc|pjc|jpjc|computer|com|infosys|information systems|analytics|smart city,0.5203754545454549,440
2017,Eunoia Junior College|Eunoia jc|ejc|computer|com|infosys|information systems|analytics|smart city,0.5203754545454549,440
2017,Innova Junior College|innova jc|ijc|computer|com|infosys|information systems|analytics|smart city,0.5203754545454549,440
2017,Tampines Junior College|Tampines Meridian Junior College|Meridian Junior College|Tampines Meridian jc|Tampines jc|Meridian jc|mjc|tpjc|tmjc|computer|com|infosys|information systems|analytics|smart city,0.5203754545454549,440
2017,Yishun Innova Junior College|Yishun Junior College|Innova Junior College|yishun jc|innova jc|yishun innova jc|yjc|ijc|yijc|computer|com|infosys|information systems|analytics|smart city,0.5203754545454549,440
2018,Jurong Junior College|Jurong Pioneer Junior College|Pioneer Junior College|jurong pioneer jc|jurong jc|pioneer jc|jjc|pjc|jpjc|computer|com|infosys|information systems|analytics|smart city,0.5485277136258665,433
2018,Eunoia Junior College|Eunoia jc|ejc|computer|com|infosys|information systems|analytics|smart city,0.5485277136258665,433
2018,Innova Junior College|innova jc|ijc|computer|com|infosys|information systems|analytics|smart city,0.5485277136258665,433
2018,Tampines Junior College|Tampines Meridian Junior College|Meridian Junior College|Tampines Meridian jc|Tampines jc|Meridian jc|mjc|tpjc|tmjc|computer|com|infosys|information systems|analytics|smart city,0.5485277136258665,433
2018,Yishun Innova Junior College|Yishun Junior College|Innova Junior College|yishun jc|innova jc|yishun innova jc|yjc|ijc|yijc|computer|com|infosys|information systems|analytics|smart city,0.5485277136258665,433
2019,Jurong Junior College|Jurong Pioneer Junior College|Pioneer Junior College|jurong pioneer jc|jurong jc|pioneer jc|jjc|pjc|jpjc|computer|com|infosys|information systems|analytics|smart city,0.5551062827225131,191
2019,Eunoia Junior College|Eunoia jc|ejc|computer|com|infosys|information systems|analytics|smart city,0.5551062827225131,191
2019,Innova Junior College|innova jc|ijc|computer|com|infosys|information systems|analytics|smart city,0.5551062827225131,191
2019,Tampines Junior College|Tampines Meridian Junior College|Meridian Junior College|Tampines Meridian jc|Tampines jc|Meridian jc|mjc|tpjc|tmjc|computer|com|infosys|information systems|analytics|smart city,0.5551062827225131,191
2019,Yishun Innova Junior College|Yishun Junior College|Innova Junior College|yishun jc|innova jc|yishun innova jc|yjc|ijc|yijc|computer|com|infosys|information systems|analytics|smart city,0.5551062827225131,191
2020,Jurong Junior College|Jurong Pioneer Junior College|Pioneer Junior College|jurong pioneer jc|jurong jc|pioneer jc|jjc|pjc|jpjc|computer|com|infosys|information systems|analytics|smart city,0.607473076923077,26
2020,Eunoia Junior College|Eunoia jc|ejc|computer|com|infosys|information systems|analytics|smart city,0.607473076923077,26
2020,Innova Junior College|innova jc|ijc|computer|com|infosys|information systems|analytics|smart city,0.607473076923077,26
2020,Tampines Junior College|Tampines Meridian Junior College|Meridian Junior College|Tampines Meridian jc|Tampines jc|Meridian jc|mjc|tpjc|tmjc|computer|com|infosys|information systems|analytics|smart city,0.607473076923077,26
2020,Yishun Innova Junior College|Yishun Junior College|Innova Junior College|yishun jc|innova jc|yishun innova jc|yjc|ijc|yijc|computer|com|infosys|information systems|analytics|smart city,0.607473076923077,26
2021,Jurong Junior College|Jurong Pioneer Junior College|Pioneer Junior College|jurong pioneer jc|jurong jc|pioneer jc|jjc|pjc|jpjc|computer|com|infosys|information systems|analytics|smart city,0.3212,1
2021,Eunoia Junior College|Eunoia jc|ejc|computer|com|infosys|information systems|analytics|smart city,0.3212,1
2021,Innova Junior College|innova jc|ijc|computer|com|infosys|information systems|analytics|smart city,0.3212,1
2021,Tampines Junior College|Tampines Meridian Junior College|Meridian Junior College|Tampines Meridian jc|Tampines jc|Meridian jc|mjc|tpjc|tmjc|computer|com|infosys|information systems|analytics|smart city,0.3212,1
2021,Yishun Innova Junior College|Yishun Junior College|Innova Junior College|yishun jc|innova jc|yishun innova jc|yjc|ijc|yijc|computer|com|infosys|information systems|analytics|smart city,0.3212,1
