year,search term,sentiment score,Number of comments
2014,Jurong Junior College|Jurong Pioneer Junior College|Pioneer Junior College|jurong pioneer jc|jurong jc|pioneer jc|jjc|pjc|jpjc|computer|com|infosys|information systems|analytics|smart city,0.009845454545454551,11
2014,Eunoia Junior College|Eunoia jc|ejc|computer|com|infosys|information systems|analytics|smart city,0.009845454545454551,11
2014,Innova Junior College|innova jc|ijc|computer|com|infosys|information systems|analytics|smart city,0.009845454545454551,11
2014,Tampines Junior College|Tampines Meridian Junior College|Meridian Junior College|Tampines Meridian jc|Tampines jc|Meridian jc|mjc|tpjc|tmjc|computer|com|infosys|information systems|analytics|smart city,0.009845454545454551,11
2014,Yishun Innova Junior College|Yishun Junior College|Innova Junior College|yishun jc|innova jc|yishun innova jc|yjc|ijc|yijc|computer|com|infosys|information systems|analytics|smart city,0.009845454545454551,11
2015,Jurong Junior College|Jurong Pioneer Junior College|Pioneer Junior College|jurong pioneer jc|jurong jc|pioneer jc|jjc|pjc|jpjc|computer|com|infosys|information systems|analytics|smart city,0.6074,3
2015,Eunoia Junior College|Eunoia jc|ejc|computer|com|infosys|information systems|analytics|smart city,0.6074,3
2015,Innova Junior College|innova jc|ijc|computer|com|infosys|information systems|analytics|smart city,0.6074,3
2015,Tampines Junior College|Tampines Meridian Junior College|Meridian Junior College|Tampines Meridian jc|Tampines jc|Meridian jc|mjc|tpjc|tmjc|computer|com|infosys|information systems|analytics|smart city,0.6074,3
2015,Yishun Innova Junior College|Yishun Junior College|Innova Junior College|yishun jc|innova jc|yishun innova jc|yjc|ijc|yijc|computer|com|infosys|information systems|analytics|smart city,0.6074,3
2016,Jurong Junior College|Jurong Pioneer Junior College|Pioneer Junior College|jurong pioneer jc|jurong jc|pioneer jc|jjc|pjc|jpjc|computer|com|infosys|information systems|analytics|smart city,0.4400064516129032,31
2016,Eunoia Junior College|Eunoia jc|ejc|computer|com|infosys|information systems|analytics|smart city,0.4400064516129032,31
2016,Innova Junior College|innova jc|ijc|computer|com|infosys|information systems|analytics|smart city,0.4400064516129032,31
2016,Tampines Junior College|Tampines Meridian Junior College|Meridian Junior College|Tampines Meridian jc|Tampines jc|Meridian jc|mjc|tpjc|tmjc|computer|com|infosys|information systems|analytics|smart city,0.4400064516129032,31
2016,Yishun Innova Junior College|Yishun Junior College|Innova Junior College|yishun jc|innova jc|yishun innova jc|yjc|ijc|yijc|computer|com|infosys|information systems|analytics|smart city,0.4400064516129032,31
2017,Jurong Junior College|Jurong Pioneer Junior College|Pioneer Junior College|jurong pioneer jc|jurong jc|pioneer jc|jjc|pjc|jpjc|computer|com|infosys|information systems|analytics|smart city,0.4341137931034482,29
2017,Eunoia Junior College|Eunoia jc|ejc|computer|com|infosys|information systems|analytics|smart city,0.4341137931034482,29
2017,Innova Junior College|innova jc|ijc|computer|com|infosys|information systems|analytics|smart city,0.4341137931034482,29
2017,Tampines Junior College|Tampines Meridian Junior College|Meridian Junior College|Tampines Meridian jc|Tampines jc|Meridian jc|mjc|tpjc|tmjc|computer|com|infosys|information systems|analytics|smart city,0.4341137931034482,29
