year,search term,sentiment score,Number of comments,Negative Comments,Neutral Comments,Positive Comments
2014,Republic Polytechnic|Republic poly|rp,0.43317777777777783,18,4,0,14
2014,Singapore polytechnic|singapore poly|sp,0.3591283333333333,120,33,7,80
2014,ngee ann polytechnic|ngee ann poly|np,0.8776611111111111,18,0,0,18
2014,temasek polytechnic|temasek poly|tp,0.5742499999999999,18,0,4,14
2014,nanyang polytechnic|nanyang poly|nyp,0.21512857142857142,7,2,0,5
2015,Republic Polytechnic|Republic poly|rp,0.4979909090909091,11,2,2,7
2015,Singapore polytechnic|singapore poly|sp,0.5094270833333333,48,8,3,37
2015,ngee ann polytechnic|ngee ann poly|np,0.316125,4,1,0,3
2015,temasek polytechnic|temasek poly|tp,0.3875,19,4,3,12
2015,nanyang polytechnic|nanyang poly|nyp,0.5080250000000001,4,1,0,3
2016,Republic Polytechnic|Republic poly|rp,0.29949680851063837,94,29,8,57
2016,Singapore polytechnic|singapore poly|sp,0.486644621513944,251,49,5,197
2016,ngee ann polytechnic|ngee ann poly|np,0.5722733333333335,30,5,0,25
2016,temasek polytechnic|temasek poly|tp,0.26159791666666665,48,14,4,30
2016,nanyang polytechnic|nanyang poly|nyp,0.5520428571428572,7,1,0,6
2017,Republic Polytechnic|Republic poly|rp,0.5374711442786066,201,31,3,167
2017,Singapore polytechnic|singapore poly|sp,0.6044299694189604,327,44,5,278
2017,ngee ann polytechnic|ngee ann poly|np,0.6783283333333334,60,6,0,54
2017,temasek polytechnic|temasek poly|tp,0.30864354838709673,62,18,3,41
2017,nanyang polytechnic|nanyang poly|nyp,0.4601380952380952,21,2,3,16
2018,Republic Polytechnic|Republic poly|rp,0.5240435714285714,140,24,3,113
2018,Singapore polytechnic|singapore poly|sp,0.6120902654867257,226,29,10,187
2018,ngee ann polytechnic|ngee ann poly|np,0.6153382352941174,34,4,0,30
2018,temasek polytechnic|temasek poly|tp,0.4978000000000002,57,8,7,42
2018,nanyang polytechnic|nanyang poly|nyp,0.6425333333333333,6,1,0,5
2019,Republic Polytechnic|Republic poly|rp,0.5465837209302327,43,7,4,32
2019,Singapore polytechnic|singapore poly|sp,0.6889084210526318,95,10,0,85
2019,ngee ann polytechnic|ngee ann poly|np,0.5318055555555555,18,3,1,14
2019,temasek polytechnic|temasek poly|tp,0.41144374999999994,16,3,1,12
2019,nanyang polytechnic|nanyang poly|nyp,0.72885,12,1,0,11
2020,Republic Polytechnic|Republic poly|rp,0.6459039999999999,25,3,1,21
2020,Singapore polytechnic|singapore poly|sp,0.4078041666666666,72,17,1,54
2020,ngee ann polytechnic|ngee ann poly|np,0.7696333333333335,3,0,0,3
2020,temasek polytechnic|temasek poly|tp,0.010585,20,10,2,8
2020,nanyang polytechnic|nanyang poly|nyp,0.8608,1,0,0,1
