year,search term,sentiment score,Number of comments,Negative Comments,Neutral Comments,Positive Comments
2014,interview|Discretionary|aptitude|Scholarship,0.440132098765432,81,16,5,60
2014,salary|Exemption|career prospect|difficulty|pay,0.4475388888888889,18,4,1,13
2014,career|prospect,0.4571352941176471,17,4,0,13
2014,Curriculum|Curriculumn|courses|modules|pedagogy,0.5987767857142856,56,8,2,46
2014,Interaction Day|Discovery Day|Direct Admission,0,0,0,0,0
2015,interview|Discretionary|aptitude|Scholarship,0.6344000000000001,11,1,0,10
2015,salary|Exemption|career prospect|difficulty|pay,0.9573333333333333,3,0,0,3
2015,career|prospect,0.6605333333333333,3,0,0,3
2015,Curriculum|Curriculumn|courses|modules|pedagogy,0.5251043478260871,23,3,0,20
2015,Interaction Day|Discovery Day|Direct Admission,0,0,0,0,0
2016,interview|Discretionary|aptitude|Scholarship,0.4764131736526944,167,33,7,127
2016,salary|Exemption|career prospect|difficulty|pay,0.4366973684210526,38,9,1,28
2016,career|prospect,0.3476461538461538,26,7,1,18
2016,Curriculum|Curriculumn|courses|modules|pedagogy,0.5298890625,128,25,1,102
2016,Interaction Day|Discovery Day|Direct Admission,0.55085,6,0,1,5
2017,interview|Discretionary|aptitude|Scholarship,0.5018366883116883,308,51,20,237
2017,salary|Exemption|career prospect|difficulty|pay,0.6510346153846155,52,6,1,45
2017,career|prospect,0.7405792452830188,53,5,0,48
2017,Curriculum|Curriculumn|courses|modules|pedagogy,0.5364969879518073,166,25,5,136
2017,Interaction Day|Discovery Day|Direct Admission,0.5068117647058824,17,1,2,14
2018,interview|Discretionary|aptitude|Scholarship,0.4868430555555556,216,38,19,159
2018,salary|Exemption|career prospect|difficulty|pay,0.6077260869565215,46,8,0,38
2018,career|prospect,0.8879025,40,1,0,39
2018,Curriculum|Curriculumn|courses|modules|pedagogy,0.7486943502824861,177,16,1,160
2018,Interaction Day|Discovery Day|Direct Admission,0.7937000000000002,12,1,0,11
2019,interview|Discretionary|aptitude|Scholarship,0.5312217821782179,101,14,11,76
2019,salary|Exemption|career prospect|difficulty|pay,0.8848176470588236,17,0,1,16
2019,career|prospect,0.9687500000000001,12,0,0,12
2019,Curriculum|Curriculumn|courses|modules|pedagogy,0.6008492537313433,67,7,5,55
2019,Interaction Day|Discovery Day|Direct Admission,0.8724666666666666,3,0,0,3
2020,interview|Discretionary|aptitude|Scholarship,0.7794521739130436,23,1,0,22
2020,salary|Exemption|career prospect|difficulty|pay,0.3628291666666666,24,6,2,16
2020,career|prospect,0.8405285714285714,7,0,0,7
2020,Curriculum|Curriculumn|courses|modules|pedagogy,0.5424176470588238,17,3,0,14
2020,Interaction Day|Discovery Day|Direct Admission,0,0,0,0,0
