year,uni,search term,sentence,tfidf value
2014,Singapore Management University|smu,Republic Polytechnic|Republic poly|rp,"tyr9292 wrote:  You mentioned that you will be doing Jap Studies in FASS, how about NTU? I think you shouldn't get too caught up with reputation right now, it is something that shouldn't take precedence over your interests and your desired career - mainly because it isn't as important as you think it is. I've a senior, an IP student from one of the top JCs who scored straight B's for his A levels did not get called for an interview for his 1st nor 2nd choice at SMU. Fella decided to go to SIM to pursue his studies in a similar field and is earning quite a lot working as a trader for a fund now.  There are a lot of ways you can monetize your degree - as long as you are doing what you want to do you will think of ways to do so. If you're going to do Jap studies but you're interested in Finance, then do take some finance mods if that is possible, join a finance CCA, take up CFA, participate in competitions, write a paper on Japan and show your employer that you are well versed with Jap culture and at the same time highly passionate (and active) in the finance side of things - you will be an amazing hire for a company looking to expand into / their operations in Japan.  It is important for us not to get caught up with the rankings. I cannot stress this enough - at the end of the day, it is who you are, what you've done and how you're working towards your goals that matter, not the reputation of your University.  Just to share: the decision for me was simple back then - I've sorted out my interests, understood what I needed to do... so I picked the one that's closest to where I live  And my parents are both members of KRGH so that made the choice even more obvious! Thanks for the great advice!  I am offered to do Linguistics in NTU, and it's a more attractive offer now especially since I am offered a scholarship there. The truth is, I love languages, and I'm obsessed with Japanese as well. Been learning the language since P5, over 9 years liao. Been exposed to the culture since I was born, so I am very influenced and in love with it. But still, I don't really see the point in doing Japanese Studies.  I am a Tourism/Business student in NP, so I have both business and hospitality backgrounds to fall upon. I am thinking of being a translator/interpreter, but doing Jap Studies would be pointless since I can't just concentrate on just one language. Being an Eng teacher in Japan would be nice as well, and that would require linguistics studies... The worst thing is, both degrees have one of the lowest starting salary among all the degrees, am now hesitating on whether to appeal to NBS instead... :/ cGPA: ard 3.82 O level: L1R5=4, L1R4=6",11.66882912101
2014,Singapore Management University|smu,Republic Polytechnic|Republic poly|rp,"No la. International students from local JCs and Polys are preferred over those with international qualifications. I personally feel that SMU places more empathise on personal development than grades. So if you can get an interview with GPA 3.7, I won't be surprised for IS. no doubt. Havok_ex wrote:  Whenever a person fails to achieve something, they will usually start by blaming everything and everyone first, parents, environment, gahmen. It is rare that a person actually looks at himself and think that maybe the fault lies with him.  If no foreigners are given a place, the cut-off GPA would be like 2.5? The quality of the universities would be dragged down. No one would need/want to study. A-level get EEE/E also can get in. In any case, foreigners only take up 18% of local university places. Now got so many uni places already that the IGP is dropping like crazy. In any case, the grades required for foreigners to get into local uni is usually quite high. I ever saw a GPA 3.9 foreigner get rejected. 3.77 might get rejected from SMU IS or NTU CS as a foreigner. But I think would be safe for EEE. ",8.123623559942168
2014,Singapore Management University|smu,Republic Polytechnic|Republic poly|rp,"Weaboo wrote:  goddamnit, peasants like us no chans go ntu/nus/smu liao No offence, but you'd actually be surprised at how easy it is now actually. Just look at the IGP, I don't think its been this low. When I got my A-level results, the IGP really peaked, now with a CDD or DDD can get into NTU liao. Last time only 20% of a cohort would have made it to local uni. Now with SIT/SUTD/Unisim, the numbers are quite high(~32%), and those numbers are gonna keep increasing as the new unis increase their intakes with new courses. What you should worry about is if you can get a job when you graduate or not. More uni grads means more competition for limited PMET jobs ",7.333146886403811
2014,Singapore Management University|smu,Republic Polytechnic|Republic poly|rp,"bombombom wrote:  Hello, Would like to ask on behalf of my friend, She got 3.74 (5 sems results) for gpa and 8 as her L1R4 scores. She is studying diploma in business studies at ngee ann poly.  Just wanna know her chances of getting into smu/ntu's accountancy as that's the course she really wants  Hope to get some advice from you all thank you!! iirc smu dun care about olvls score one. so it really just depends on whether gpa got hit/surpass igp.. correct me if i m wrong though",6.885328359215415
2014,Singapore Management University|smu,Republic Polytechnic|Republic poly|rp,"wargoku wrote:  I took Biz Finance BU8201 The killer part is the tutorial Why cant they just go through the answer of the question on tutorial have to do so many pattern like volunteer in class and things  volunteer write ans on whiteboard gt extra mark...SMU style?  and got grp work somemore....feel like dropping sibei chim Haha exact same problems as you Mine still got seminar where each group a week need to lead the seminar and also provide answers and stuff. How to provide answers if don't understand lecture",6.667480017422413
2014,Singapore Management University|smu,Republic Polytechnic|Republic poly|rp,"Nicholas92 wrote:  Business Analytic is actually more towards IT-side, but the word 'Business' in the name managed to scam quite a number of applicants. More girls than guys inside!!https://share.nus.edu.sg/registrar/i...l-20132014.pdfHoly mackarel, got such stats one ah!  Do the other unis have this as well? Engineering is a total sausage fest.  Edit: Haha okay, found both NTU and SMU's too!  NTU: http://www.ntu.edu.sg/AboutNTU/Corpo...AY2013-14.aspx SMU:http://www.smu.edu.sg/sites/default/..._20130906b.pdf",6.618389875858968
2014,Singapore Management University|smu,Republic Polytechnic|Republic poly|rp,"The original module in NBS (AB1201 - Financial Management) is way harder. You guys have it easy already. wargoku wrote:  I took Biz Finance BU8201 The killer part is the tutorial Why cant they just go through the answer of the question on tutorial have to do so many pattern like volunteer in class and things  volunteer write ans on whiteboard gt extra mark...SMU style?  and got grp work somemore....feel like dropping sibei chim ",6.534709479928944
2014,Singapore Management University|smu,Republic Polytechnic|Republic poly|rp,"glorious94 wrote:  Hi I am from NP banking& financial services.   C.gpa- 3.8778 (5 sem) L1R5-12 (raw) L1R4- 10 (raw) English: B4 Amath: A2 Would just like to enquire what are my chances of getting into NUS/NTU/SMU Accountancy/ Biz admin? Would I need to attend an interview since i got B4 for English? Should be no problem getting NTU Biz / Acc. NUS BIZ is fine too, ACC is 50:50. SMU has interview - grp for biz, individual for acc. Shouldn't be a problem with your grades.",5.885609106662634
2014,Singapore Management University|smu,Republic Polytechnic|Republic poly|rp,"firezero10 wrote:  I applied normally. But they invite me for DA interview, which is quite a surprise for me. Hope I can get it since SMU like no news and NTU takes forever to give any response even when i only applied for mathematical sciences which has a low cut off.We might become coursemates HAHAHA! I applied for mathematical science at NTU and science at NUS too  So far no news yet  No news is a good news I guess? At least I haven't receive any rejection letter..",5.614201411632607
2014,Singapore Management University|smu,Republic Polytechnic|Republic poly|rp,"I took Biz Finance BU8201 The killer part is the tutorial Why cant they just go through the answer of the question on tutorial have to do so many pattern like volunteer in class and things  volunteer write ans on whiteboard gt extra mark...SMU style?  and got grp work somemore....feel like dropping sibei chim",5.503281630338561
